2025-07-21 15:30:05 | config-x/auto-comm > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: OK
2025-07-21 15:35:31 | config-x/auto-comm > | rulebook_to_dict 25R2_NOKIA_CLI_Rulebook_SCF_DU10_InitCell_LTE_V1.0_t1.xml | RESULT: OK
2025-07-21 15:36:52 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
2025-07-21 15:37:32 | config-x/auto-comm > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: OK
2025-07-21 15:37:32 | config-x/auto-comm > | list_script 20250721 | RESULT: OK
2025-07-21 15:37:56 | MRBTS(130126) > | autocomm_run_script 101.DU130126_Cell48291_initcell_pass.cli | RESULT: OK
2025-07-21 15:54:11 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-21 15:54:11 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-21 15:54:11 | config > | init_stp | RESULT: OK
2025-07-21 15:54:12 | config/init-bts(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-21 15:54:12 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-21 15:54:31 | MRBTS(130126) > | rulebook_to_dict 25R2_NOKIA_CLI_Rulebook_SCF_DU10_InitCell_LTE_V1.0_t1.xml | RESULT: OK
2025-07-21 15:55:11 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
2025-07-21 15:55:50 | config-x/auto-comm > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: OK
2025-07-21 15:55:50 | config-x/auto-comm > | list_script 20250721 | RESULT: OK
2025-07-21 15:56:30 | MRBTS(130126) > | autocomm_run_script 101.DU130126_Cell48291_initcell_pass.cli | RESULT: OK
2025-07-21 16:01:19 | MRBTS(130126) > | act_bts_cfg | RESULT: OK
2025-07-21 17:17:36 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
2025-07-21 17:18:15 | config-x/auto-comm > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: OK
2025-07-21 17:18:15 | config-x/auto-comm > | list_script 20250721 | RESULT: OK
2025-07-21 17:18:32 | MRBTS(130126) > | autocomm_run_script 101.DU130126_Cell48291_initcell_pass.cli | RESULT: OK
2025-07-21 17:21:16 | config-x > | help | RESULT: NOK
2025-07-21 17:26:34 | # nocli > | rulebook_to_dict 25R2_NOKIA_CLI_Rulebook_SCF_DU10_InitCell_LTE_V1.0_t1.xml | RESULT: NOK
